node_id,journal_name
journal_Technology in cancer research & treatment,Technology in cancer research & treatment
journal_Urologia,Urologia
journal_Biomedicines,Biomedicines
journal_Applied bionics and biomechanics,Applied bionics and biomechanics
"journal_Biotechnology notes (Amsterdam, Netherlands)","Biotechnology notes (Amsterdam, Netherlands)"
journal_Viruses,Viruses
journal_Oncology reports,Oncology reports
journal_Bioscience reports,Bioscience reports
journal_International journal of biological macromolecules,International journal of biological macromolecules
journal_Talanta,Talanta
journal_The Journal of thoracic and cardiovascular surgery,The Journal of thoracic and cardiovascular surgery
journal_PLoS biology,PLoS biology
journal_Advances in drug and alcohol research,Advances in drug and alcohol research
journal_Microorganisms,Microorganisms
journal_Clinical hemorheology and microcirculation,Clinical hemorheology and microcirculation
journal_International journal of molecular medicine,International journal of molecular medicine
journal_Experimental and therapeutic medicine,Experimental and therapeutic medicine
journal_RSC advances,RSC advances
journal_Oncology research,Oncology research
journal_Polymer engineering and science,Polymer engineering and science
journal_Annals of agricultural and environmental medicine : AAEM,Annals of agricultural and environmental medicine : AAEM
journal_Journal of experimental botany,Journal of experimental botany
journal_IUBMB life,IUBMB life
journal_Computational and structural biotechnology journal,Computational and structural biotechnology journal
journal_Cancer research and treatment,Cancer research and treatment
journal_Frontiers in surgery,Frontiers in surgery
journal_PLoS pathogens,PLoS pathogens
journal_Contraception,Contraception
journal_Journal of tissue engineering and regenerative medicine,Journal of tissue engineering and regenerative medicine
journal_Water research,Water research
journal_International journal of dental hygiene,International journal of dental hygiene
journal_International journal for parasitology. Parasites and wildlife,International journal for parasitology. Parasites and wildlife
journal_International journal of molecular sciences,International journal of molecular sciences
journal_BMC pulmonary medicine,BMC pulmonary medicine
journal_Iranian journal of medical sciences,Iranian journal of medical sciences
journal_Soft computing,Soft computing
journal_Frontiers in molecular neuroscience,Frontiers in molecular neuroscience
journal_Frontiers in oncology,Frontiers in oncology
journal_Mycobiology,Mycobiology
journal_International journal of oncology,International journal of oncology
journal_Computers in biology and medicine,Computers in biology and medicine
journal_Oncogene,Oncogene
journal_Phytomedicine : international journal of phytotherapy and phytopharmacology,Phytomedicine : international journal of phytotherapy and phytopharmacology
journal_BMC gastroenterology,BMC gastroenterology
journal_Probiotics and antimicrobial proteins,Probiotics and antimicrobial proteins
journal_Cureus,Cureus
journal_The Science of the total environment,The Science of the total environment
journal_Journal of nanoparticle research : an interdisciplinary forum for nanoscale science and technology,Journal of nanoparticle research : an interdisciplinary forum for nanoscale science and technology
journal_BMC cancer,BMC cancer
journal_[Rinsho ketsueki] The Japanese journal of clinical hematology,[Rinsho ketsueki] The Japanese journal of clinical hematology
journal_International journal of mass spectrometry,International journal of mass spectrometry
journal_International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics,International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics
"journal_Journal of microbiology, immunology, and infection = Wei mian yu gan ran za zhi","Journal of microbiology, immunology, and infection = Wei mian yu gan ran za zhi"
journal_BMC endocrine disorders,BMC endocrine disorders
"journal_Neurobiology of pain (Cambridge, Mass.)","Neurobiology of pain (Cambridge, Mass.)"
journal_Frontiers in transplantation,Frontiers in transplantation
journal_World journal of microbiology & biotechnology,World journal of microbiology & biotechnology
journal_JACC. Advances,JACC. Advances
journal_Endocrine regulations,Endocrine regulations
journal_Journal of clinical medicine research,Journal of clinical medicine research
journal_European journal of translational myology,European journal of translational myology
journal_Turkish journal of obstetrics and gynecology,Turkish journal of obstetrics and gynecology
journal_Clinical kidney journal,Clinical kidney journal
journal_Open forum infectious diseases,Open forum infectious diseases
journal_Reviews in cardiovascular medicine,Reviews in cardiovascular medicine
journal_Cells,Cells
journal_Molecular medicine reports,Molecular medicine reports
journal_eLife,eLife
journal_Frontiers in psychiatry,Frontiers in psychiatry
journal_Gene,Gene
journal_The Journal of experimental medicine,The Journal of experimental medicine
journal_Journal of molecular liquids,Journal of molecular liquids
journal_Journal of hematology & oncology,Journal of hematology & oncology
journal_Cancers,Cancers
journal_Journal of the science of food and agriculture,Journal of the science of food and agriculture
journal_The Journal of biological chemistry,The Journal of biological chemistry
journal_Current dermatology reports,Current dermatology reports
journal_Infection,Infection
journal_Epilepsy research,Epilepsy research
journal_Galen medical journal,Galen medical journal
journal_Cell chemical biology,Cell chemical biology
"journal_Pathology, research and practice","Pathology, research and practice"
journal_Hepatobiliary surgery and nutrition,Hepatobiliary surgery and nutrition
journal_Veterinary sciences,Veterinary sciences
journal_Non-coding RNA research,Non-coding RNA research
journal_BMC psychiatry,BMC psychiatry
journal_Personal and ubiquitous computing,Personal and ubiquitous computing
journal_Computational intelligence and neuroscience,Computational intelligence and neuroscience
"journal_The journal of maternal-fetal & neonatal medicine : the official journal of the European Association of Perinatal Medicine, the Federation of Asia and Oceania Perinatal Societies, the International Society of Perinatal Obstetricians","The journal of maternal-fetal & neonatal medicine : the official journal of the European Association of Perinatal Medicine, the Federation of Asia and Oceania Perinatal Societies, the International Society of Perinatal Obstetricians"
"journal_BMJ nutrition, prevention & health","BMJ nutrition, prevention & health"
journal_Annals of oncology : official journal of the European Society for Medical Oncology,Annals of oncology : official journal of the European Society for Medical Oncology
journal_Hormone research in paediatrics,Hormone research in paediatrics
journal_Evidence-based complementary and alternative medicine : eCAM,Evidence-based complementary and alternative medicine : eCAM
journal_Journal of medical ultrasound,Journal of medical ultrasound
journal_Perceptual and motor skills,Perceptual and motor skills
journal_mBio,mBio
journal_Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer
journal_Mitochondrion,Mitochondrion
journal_Redox biology,Redox biology
journal_Pharmaceutics,Pharmaceutics
journal_Cytokine & growth factor reviews,Cytokine & growth factor reviews
journal_Health open research,Health open research
journal_Cell reports. Medicine,Cell reports. Medicine
journal_Advances in radiation oncology,Advances in radiation oncology
"journal_Journal of neurological surgery. Part B, Skull base","Journal of neurological surgery. Part B, Skull base"
journal_Acta pharmaceutica Sinica. B,Acta pharmaceutica Sinica. B
"journal_In vivo (Athens, Greece)","In vivo (Athens, Greece)"
"journal_Antioxidants (Basel, Switzerland)","Antioxidants (Basel, Switzerland)"
journal_Frontiers in molecular biosciences,Frontiers in molecular biosciences
journal_Medicine,Medicine
journal_Journal of diabetes and metabolic disorders,Journal of diabetes and metabolic disorders
journal_Diabetes/metabolism research and reviews,Diabetes/metabolism research and reviews
journal_ADMET & DMPK,ADMET & DMPK
journal_NEJM evidence,NEJM evidence
journal_Pediatric transplantation,Pediatric transplantation
journal_Chinese journal of cancer research = Chung-kuo yen cheng yen chiu,Chinese journal of cancer research = Chung-kuo yen cheng yen chiu
journal_Veterinaria italiana,Veterinaria italiana
journal_Current pharmaceutical design,Current pharmaceutical design
journal_Climacteric : the journal of the International Menopause Society,Climacteric : the journal of the International Menopause Society
journal_Ecancermedicalscience,Ecancermedicalscience
journal_Analytical chemistry,Analytical chemistry
"journal_Structure (London, England : 1993)","Structure (London, England : 1993)"
journal_Acta clinica Croatica,Acta clinica Croatica
journal_BMC ecology and evolution,BMC ecology and evolution
journal_European review for medical and pharmacological sciences,European review for medical and pharmacological sciences
journal_Frontiers in bioscience (Elite edition),Frontiers in bioscience (Elite edition)
journal_ACS photonics,ACS photonics
"journal_Applied radiation and isotopes : including data, instrumentation and methods for use in agriculture, industry and medicine","Applied radiation and isotopes : including data, instrumentation and methods for use in agriculture, industry and medicine"
journal_Genes,Genes
journal_Asian journal of transfusion science,Asian journal of transfusion science
journal_Journal of medical genetics,Journal of medical genetics
journal_Bulletin du cancer,Bulletin du cancer
journal_Plant methods,Plant methods
journal_Frontiers in physiology,Frontiers in physiology
journal_Frontiers in medicine,Frontiers in medicine
journal_Parasitology research,Parasitology research
journal_Veterinary world,Veterinary world
journal_Progress in molecular biology and translational science,Progress in molecular biology and translational science
journal_Critical reviews in analytical chemistry,Critical reviews in analytical chemistry
journal_Kidney international reports,Kidney international reports
journal_Biochemistry. Biokhimiia,Biochemistry. Biokhimiia
journal_Clinical genetics,Clinical genetics
journal_Journal of gastrointestinal cancer,Journal of gastrointestinal cancer
journal_The Lancet regional health. Western Pacific,The Lancet regional health. Western Pacific
journal_Physiologia plantarum,Physiologia plantarum
journal_Sensors & diagnostics,Sensors & diagnostics
journal_Clinical practice and epidemiology in mental health : CP & EMH,Clinical practice and epidemiology in mental health : CP & EMH
journal_Communications biology,Communications biology
journal_Multiple sclerosis and related disorders,Multiple sclerosis and related disorders
journal_Journal of psycholinguistic research,Journal of psycholinguistic research
"journal_The journal of physical chemistry. C, Nanomaterials and interfaces","The journal of physical chemistry. C, Nanomaterials and interfaces"
journal_BMC medical genomics,BMC medical genomics
journal_Applied immunohistochemistry & molecular morphology : AIMM,Applied immunohistochemistry & molecular morphology : AIMM
journal_Frontiers in veterinary science,Frontiers in veterinary science
journal_Frontiers in cell and developmental biology,Frontiers in cell and developmental biology
journal_Annals of medicine and surgery (2012),Annals of medicine and surgery (2012)
journal_Cancer letters,Cancer letters
journal_Biochemical and biophysical research communications,Biochemical and biophysical research communications
journal_The Journal of general virology,The Journal of general virology
journal_Biosensors,Biosensors
journal_The Canadian journal of statistics = Revue canadienne de statistique,The Canadian journal of statistics = Revue canadienne de statistique
journal_Journal of experimental & clinical cancer research : CR,Journal of experimental & clinical cancer research : CR
journal_Neurosurgical review,Neurosurgical review
journal_Disease markers,Disease markers
journal_BMC cardiovascular disorders,BMC cardiovascular disorders
journal_Matrix biology : journal of the International Society for Matrix Biology,Matrix biology : journal of the International Society for Matrix Biology
journal_American journal of biological anthropology,American journal of biological anthropology
journal_The journal of physical chemistry. B,The journal of physical chemistry. B
journal_Environment international,Environment international
journal_Journal of rheumatic diseases,Journal of rheumatic diseases
journal_Contrast media & molecular imaging,Contrast media & molecular imaging
journal_Oxidative medicine and cellular longevity,Oxidative medicine and cellular longevity
journal_MedComm,MedComm
journal_Translational cancer research,Translational cancer research
journal_Cellular and molecular bioengineering,Cellular and molecular bioengineering
journal_Biochemical pharmacology,Biochemical pharmacology
journal_Biophysics reports,Biophysics reports
journal_BMC clinical pathology,BMC clinical pathology
journal_Maturitas,Maturitas
journal_Journal of neurosciences in rural practice,Journal of neurosciences in rural practice
journal_The Pediatric infectious disease journal,The Pediatric infectious disease journal
journal_NAR genomics and bioinformatics,NAR genomics and bioinformatics
journal_Biochemistry and biophysics reports,Biochemistry and biophysics reports
journal_FEBS open bio,FEBS open bio
"journal_Nanomedicine : nanotechnology, biology, and medicine","Nanomedicine : nanotechnology, biology, and medicine"
journal_Molecular therapy : the journal of the American Society of Gene Therapy,Molecular therapy : the journal of the American Society of Gene Therapy
journal_Acta medica Philippina,Acta medica Philippina
journal_International journal of oral science,International journal of oral science
journal_Neuroendocrinology,Neuroendocrinology
journal_La Tunisie medicale,La Tunisie medicale
journal_Journal of clinical medicine,Journal of clinical medicine
journal_Zhonghua nan ke xue = National journal of andrology,Zhonghua nan ke xue = National journal of andrology
journal_Sleep and biological rhythms,Sleep and biological rhythms
journal_Journal of thrombosis and haemostasis : JTH,Journal of thrombosis and haemostasis : JTH
journal_Human & experimental toxicology,Human & experimental toxicology
journal_Annals of hepatology,Annals of hepatology
journal_Carbohydrate polymers,Carbohydrate polymers
journal_Medecine tropicale et sante internationale,Medecine tropicale et sante internationale
journal_Microbiology and immunology,Microbiology and immunology
journal_Archives of Razi Institute,Archives of Razi Institute
journal_Helminthologia,Helminthologia
journal_Emerging topics in life sciences,Emerging topics in life sciences
journal_Applied magnetic resonance,Applied magnetic resonance
journal_Canada communicable disease report = Releve des maladies transmissibles au Canada,Canada communicable disease report = Releve des maladies transmissibles au Canada
journal_BMJ case reports,BMJ case reports
journal_Briefings in bioinformatics,Briefings in bioinformatics
journal_BMC public health,BMC public health
journal_Discovery immunology,Discovery immunology
journal_Industrial psychiatry journal,Industrial psychiatry journal
"journal_Pathogens (Basel, Switzerland)","Pathogens (Basel, Switzerland)"
journal_Voprosy virusologii,Voprosy virusologii
"journal_Drug design, development and therapy","Drug design, development and therapy"
journal_Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference
journal_Current health sciences journal,Current health sciences journal
journal_Journal of equine veterinary science,Journal of equine veterinary science
journal_Marine drugs,Marine drugs
journal_Journal of combinatorial optimization,Journal of combinatorial optimization
journal_Biodiversity data journal,Biodiversity data journal
"journal_Applied intelligence (Dordrecht, Netherlands)","Applied intelligence (Dordrecht, Netherlands)"
journal_Acta dermatovenerologica Croatica : ADC,Acta dermatovenerologica Croatica : ADC
journal_Clinical psychopharmacology and neuroscience : the official scientific journal of the Korean College of Neuropsychopharmacology,Clinical psychopharmacology and neuroscience : the official scientific journal of the Korean College of Neuropsychopharmacology
journal_Journal of pharmaceutical analysis,Journal of pharmaceutical analysis
journal_BMC microbiology,BMC microbiology
journal_Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie
journal_Biosensors & bioelectronics,Biosensors & bioelectronics
journal_Nature,Nature
journal_Biomolecules,Biomolecules
journal_Frontiers in plant science,Frontiers in plant science
"journal_Genetics, selection, evolution : GSE","Genetics, selection, evolution : GSE"
journal_Poultry science,Poultry science
"journal_Breast care (Basel, Switzerland)","Breast care (Basel, Switzerland)"
journal_Critical reviews in microbiology,Critical reviews in microbiology
journal_Cell,Cell
journal_Journal of data science : JDS,Journal of data science : JDS
journal_PLoS genetics,PLoS genetics
journal_BMC infectious diseases,BMC infectious diseases
journal_BioMedicine,BioMedicine
journal_NPJ science of food,NPJ science of food
journal_Irish journal of medical science,Irish journal of medical science
journal_Nigerian medical journal : journal of the Nigeria Medical Association,Nigerian medical journal : journal of the Nigeria Medical Association
journal_European journal of cancer prevention : the official journal of the European Cancer Prevention Organisation (ECP),European journal of cancer prevention : the official journal of the European Cancer Prevention Organisation (ECP)
journal_Journal of environmental sciences (China),Journal of environmental sciences (China)
journal_Frontiers in nutrition,Frontiers in nutrition
"journal_Medical oncology (Northwood, London, England)","Medical oncology (Northwood, London, England)"
journal_Journal of the Pediatric Orthopaedic Society of North America,Journal of the Pediatric Orthopaedic Society of North America
journal_Journal of pain research,Journal of pain research
journal_Basic and clinical neuroscience,Basic and clinical neuroscience
"journal_Cell cycle (Georgetown, Tex.)","Cell cycle (Georgetown, Tex.)"
journal_Microbiology resource announcements,Microbiology resource announcements
journal_Scanning,Scanning
journal_Marine life science & technology,Marine life science & technology
journal_Huan jing ke xue= Huanjing kexue,Huan jing ke xue= Huanjing kexue
"journal_Veterinary parasitology, regional studies and reports","Veterinary parasitology, regional studies and reports"
"journal_Clinical nutrition (Edinburgh, Scotland)","Clinical nutrition (Edinburgh, Scotland)"
journal_Cell biochemistry and biophysics,Cell biochemistry and biophysics
journal_Clinical neurology and neurosurgery,Clinical neurology and neurosurgery
journal_Frontiers in pediatrics,Frontiers in pediatrics
journal_Zhonghua gan zang bing za zhi = Zhonghua ganzangbing zazhi = Chinese journal of hepatology,Zhonghua gan zang bing za zhi = Zhonghua ganzangbing zazhi = Chinese journal of hepatology
journal_Global medical genetics,Global medical genetics
journal_Drugs and drug candidates,Drugs and drug candidates
"journal_Exploration (Beijing, China)","Exploration (Beijing, China)"
journal_American journal of ophthalmology case reports,American journal of ophthalmology case reports
"journal_Open medicine (Warsaw, Poland)","Open medicine (Warsaw, Poland)"
journal_Ethiopian journal of health sciences,Ethiopian journal of health sciences
journal_Frontiers in network physiology,Frontiers in network physiology
journal_Food microbiology,Food microbiology
journal_Cell genomics,Cell genomics
journal_Biomedical reports,Biomedical reports
journal_International journal of biochemistry and molecular biology,International journal of biochemistry and molecular biology
journal_Gan to kagaku ryoho. Cancer & chemotherapy,Gan to kagaku ryoho. Cancer & chemotherapy
journal_Evolutionary applications,Evolutionary applications
journal_Nigerian journal of physiological sciences : official publication of the Physiological Society of Nigeria,Nigerian journal of physiological sciences : official publication of the Physiological Society of Nigeria
journal_Journal of breast imaging,Journal of breast imaging
"journal_Food research international (Ottawa, Ont.)","Food research international (Ottawa, Ont.)"
"journal_Annals of surgery open : perspectives of surgical history, education, and clinical approaches","Annals of surgery open : perspectives of surgical history, education, and clinical approaches"
journal_Therapeutic advances in medical oncology,Therapeutic advances in medical oncology
"journal_Acta pharmaceutica (Zagreb, Croatia)","Acta pharmaceutica (Zagreb, Croatia)"
journal_Journal of maxillofacial and oral surgery,Journal of maxillofacial and oral surgery
journal_BMC anesthesiology,BMC anesthesiology
journal_Steroids,Steroids
journal_The Journal of organic chemistry,The Journal of organic chemistry
journal_Structural heart : the journal of the Heart Team,Structural heart : the journal of the Heart Team
journal_Neurology. Genetics,Neurology. Genetics
journal_Herz,Herz
journal_Science advances,Science advances
journal_JCEM case reports,JCEM case reports
journal_Journal of medicinal chemistry,Journal of medicinal chemistry
journal_Biomolecular concepts,Biomolecular concepts
"journal_Pharmaceuticals (Basel, Switzerland)","Pharmaceuticals (Basel, Switzerland)"
journal_Journal of food science and technology,Journal of food science and technology
journal_Drugs,Drugs
journal_Topics in current chemistry (Cham),Topics in current chemistry (Cham)
journal_Particle and fibre toxicology,Particle and fibre toxicology
journal_Northern clinics of Istanbul,Northern clinics of Istanbul
journal_Journal of intellectual & developmental disability,Journal of intellectual & developmental disability
journal_Open veterinary journal,Open veterinary journal
journal_The Journal of the American Association of Gynecologic Laparoscopists,The Journal of the American Association of Gynecologic Laparoscopists
journal_Vitamins and hormones,Vitamins and hormones
journal_Cancer biomarkers : section A of Disease markers,Cancer biomarkers : section A of Disease markers
"journal_Current oncology (Toronto, Ont.)","Current oncology (Toronto, Ont.)"
journal_Current research in microbial sciences,Current research in microbial sciences
journal_Journal of affective disorders,Journal of affective disorders
journal_Frontiers in human neuroscience,Frontiers in human neuroscience
journal_Microbial genomics,Microbial genomics
"journal_Diagnostics (Basel, Switzerland)","Diagnostics (Basel, Switzerland)"
journal_Journal of biomolecular structure & dynamics,Journal of biomolecular structure & dynamics
journal_ACS omega,ACS omega
journal_The journal of allergy and clinical immunology. Global,The journal of allergy and clinical immunology. Global
journal_Preventive medicine reports,Preventive medicine reports
journal_Digestive diseases and sciences,Digestive diseases and sciences
journal_Nanotechnology,Nanotechnology
journal_medRxiv : the preprint server for health sciences,medRxiv : the preprint server for health sciences
journal_Cancer,Cancer
journal_Annals of translational medicine,Annals of translational medicine
"journal_Nanomaterials (Basel, Switzerland)","Nanomaterials (Basel, Switzerland)"
journal_Inorganic chemistry,Inorganic chemistry
journal_PRX life,PRX life
journal_Annals of operations research,Annals of operations research
journal_ACS central science,ACS central science
journal_Cell reports,Cell reports
journal_Clinics in geriatric medicine,Clinics in geriatric medicine
journal_The Prostate,The Prostate
journal_Trends in pharmacological sciences,Trends in pharmacological sciences
journal_PLoS neglected tropical diseases,PLoS neglected tropical diseases
journal_Proteomics,Proteomics
journal_Trends in anaesthesia & critical care,Trends in anaesthesia & critical care
journal_Journal of pharmacy & bioallied sciences,Journal of pharmacy & bioallied sciences
journal_Journal of biological inorganic chemistry : JBIC : a publication of the Society of Biological Inorganic Chemistry,Journal of biological inorganic chemistry : JBIC : a publication of the Society of Biological Inorganic Chemistry
"journal_Modern pathology : an official journal of the United States and Canadian Academy of Pathology, Inc","Modern pathology : an official journal of the United States and Canadian Academy of Pathology, Inc"
journal_Journal of clinical neurophysiology : official publication of the American Electroencephalographic Society,Journal of clinical neurophysiology : official publication of the American Electroencephalographic Society
journal_Science translational medicine,Science translational medicine
journal_Frontiers in genetics,Frontiers in genetics
journal_European journal of clinical nutrition,European journal of clinical nutrition
journal_Angewandte Chemie (International ed. in English),Angewandte Chemie (International ed. in English)
"journal_Plastic surgery (Oakville, Ont.)","Plastic surgery (Oakville, Ont.)"
journal_Pharmacology & therapeutics,Pharmacology & therapeutics
journal_Current medical mycology,Current medical mycology
journal_Journal of cellular and molecular medicine,Journal of cellular and molecular medicine
journal_Parasites & vectors,Parasites & vectors
"journal_Medical journal, Armed Forces India","Medical journal, Armed Forces India"
journal_Turkish journal of medical sciences,Turkish journal of medical sciences
journal_British journal of pharmacology,British journal of pharmacology
journal_JACC. Basic to translational science,JACC. Basic to translational science
journal_Annals of medicine,Annals of medicine
journal_Animals : an open access journal from MDPI,Animals : an open access journal from MDPI
journal_Metabolism: clinical and experimental,Metabolism: clinical and experimental
journal_Cellular signalling,Cellular signalling
journal_Research square,Research square
journal_F&S reports,F&S reports
journal_World neurosurgery,World neurosurgery
journal_Hepatology communications,Hepatology communications
journal_Molecular microbiology,Molecular microbiology
journal_mSystems,mSystems
journal_Journal of clinical and experimental hepatology,Journal of clinical and experimental hepatology
journal_Archives of gynecology and obstetrics,Archives of gynecology and obstetrics
journal_Journal of X-ray science and technology,Journal of X-ray science and technology
journal_PeerJ,PeerJ
journal_Materials chemistry frontiers,Materials chemistry frontiers
journal_Research in pharmaceutical sciences,Research in pharmaceutical sciences
journal_Small science,Small science
journal_Bioresource technology,Bioresource technology
journal_Molecular therapy. Nucleic acids,Molecular therapy. Nucleic acids
journal_European journal of clinical microbiology & infectious diseases : official publication of the European Society of Clinical Microbiology,European journal of clinical microbiology & infectious diseases : official publication of the European Society of Clinical Microbiology
journal_Juntendo Iji zasshi = Juntendo medical journal,Juntendo Iji zasshi = Juntendo medical journal
journal_Bioengineered,Bioengineered
"journal_Addiction (Abingdon, England)","Addiction (Abingdon, England)"
journal_Dental clinics of North America,Dental clinics of North America
journal_Paediatrics & child health,Paediatrics & child health
journal_European journal of anaesthesiology,European journal of anaesthesiology
journal_Annals of neurosciences,Annals of neurosciences
journal_BJPsych open,BJPsych open
journal_Sexually transmitted diseases,Sexually transmitted diseases
journal_Plant physiology and biochemistry : PPB,Plant physiology and biochemistry : PPB
journal_Studies in mycology,Studies in mycology
journal_Seminars in cell & developmental biology,Seminars in cell & developmental biology
journal_BMC bioinformatics,BMC bioinformatics
journal_Indian journal of dermatology,Indian journal of dermatology
journal_Journal of public health in Africa,Journal of public health in Africa
journal_Molecular biology of the cell,Molecular biology of the cell
journal_Transfusion medicine and hemotherapy : offizielles Organ der Deutschen Gesellschaft fur Transfusionsmedizin und Immunhamatologie,Transfusion medicine and hemotherapy : offizielles Organ der Deutschen Gesellschaft fur Transfusionsmedizin und Immunhamatologie
journal_Journal of molecular biology,Journal of molecular biology
journal_Clinical rehabilitation,Clinical rehabilitation
journal_Ecotoxicology and environmental safety,Ecotoxicology and environmental safety
journal_Evolution; international journal of organic evolution,Evolution; international journal of organic evolution
journal_Current research in parasitology & vector-borne diseases,Current research in parasitology & vector-borne diseases
journal_Smart medicine,Smart medicine
journal_Ophthalmic genetics,Ophthalmic genetics
journal_NAR cancer,NAR cancer
