node_id,pmid,title,journal,year,doi,n_authors,n_mesh_terms
paper_35072682,35072682,CO<sub>2</sub> as oxidant: an unusual light-assisted catalyst free oxidation of aldehydes to acids under mild conditions.,"Chemical communications (Cambridge, England)",2022.0,10.1039/d1cc06057k,8,0
paper_38971357,38971357,Hierarchically design MoS<sub>2</sub>/CdNi@RGO ultra-thin hybrid sheet for Photocatalytic degradation of organic contaminants fingerprinting in environmental matrices.,Environmental research,2024.0,10.1016/j.envres.2024.119568,3,5
paper_38191877,38191877,Recombinant Pneumolysin of Pneumococci Induces TLR4 Expression and Maturation of Dendritic Cells In Vitro.,Bulletin of experimental biology and medicine,2023.0,10.1007/s10517-024-05993-5,12,7
paper_38572189,38572189,Androgenetic Alopecia in Children and Adolescents: From Trichoscopy to Therapy.,Skin appendage disorders,2024.0,10.1159/000534844,6,0
paper_27878359,27878359,Long noncoding RNA GAS5 inhibits malignant proliferation and chemotherapy resistance to doxorubicin in bladder transitional cell carcinoma.,Cancer chemotherapy and pharmacology,2017.0,10.1007/s00280-016-3194-4,4,16
paper_38142765,38142765,In vitro antileishmanial activity of thioridazine on amphotericin B unresponsive/ sensitive Leishmania donovani promastigotes and intracellular amastigotes.,Experimental parasitology,2024.0,10.1016/j.exppara.2023.108688,5,7
paper_38934825,38934825,Association of Common Mental Disorders with Diabetes Mellitus - Evidence from Community-based Matched Case-Control Study in North India.,Indian journal of public health,2023.0,10.4103/ijph.ijph_1490_22,8,14
paper_36060877,36060877,The Performance Appraisal System of Country Well-Facilitated Farmland Based on AHP-Object Metatopological Model.,Journal of environmental and public health,2022.0,10.1155/2022/5117986,3,5
paper_26221215,26221215,The up-regulation of miR-300 in gastric cancer and its effects on cells malignancy.,International journal of clinical and experimental medicine,2015.0,,7,0
paper_39067943,39067943,From nature's bounty to drug discovery: Leveraging phytochemicals and molecular approaches to combat multi-drug-resistant (MDR) tuberculosis.,The Indian journal of tuberculosis,2024.0,10.1016/j.ijtb.2023.08.007,13,8
paper_38298658,38298658,G-quadruplex formation within the promoter region of <i>HSPB2</i> and its effect on transcription.,Heliyon,2024.0,10.1016/j.heliyon.2024.e24396,7,0
paper_35419690,35419690,Application of calcium alginate-PANI@sawdust wood hydrogel bio-beads for the removal of orange G dye from aqueous solution.,Environmental science and pollution research international,2022.0,10.1007/s11356-022-20162-9,9,10
paper_37997702,37997702,Predominant factors influencing reactive oxygen species in cancer stem cells.,Journal of cellular biochemistry,2024.0,10.1002/jcb.30506,4,6
paper_35924272,35924272,Study on Psychological Stress Response and Intervention Countermeasures of Exposed Population under Sudden Public Health Crisis.,BioMed research international,2022.0,10.1155/2022/3411960,12,8
paper_38187751,38187751,Exogenous mitochondrial transfer increases energy expenditure and attenuates adiposity gains in mice with diet-induced obesity.,bioRxiv : the preprint server for biology,2023.0,10.1101/2023.12.23.573206,13,0
paper_38202817,38202817,Pleiotropic Potential of <i>Evernia prunastri</i> Extracts and Their Main Compounds Evernic Acid and Atranorin: In Vitro and In Silico Studies.,"Molecules (Basel, Switzerland)",2023.0,10.3390/molecules29010233,9,8
paper_26137089,26137089,RUNX2 RNA interference inhibits the invasion of osteosarcoma.,Oncology letters,2015.0,10.3892/ol.2015.3124,2,0
paper_36398281,36398281,The Research Progress in the Application of Ceramic Nanofibers in Antibacterial Textile Materials.,International journal of analytical chemistry,2022.0,10.1155/2022/9910266,2,0
paper_38235144,38235144,Dual soluble epoxide hydrolase inhibitor - farnesoid X receptor agonist interventional treatment attenuates renal inflammation and fibrosis.,Frontiers in immunology,2023.0,10.3389/fimmu.2023.1269261,5,11
paper_35092751,35092751,Plant extract-based green fabrication of nickel ferrite (NiFe<sub>2</sub>O<sub>4</sub>) nanoparticles: An operative platform for non-enzymatic determination of pentachlorophenol.,Chemosphere,2022.0,10.1016/j.chemosphere.2022.133760,11,11
paper_38117471,38117471,Food and Environmental Virology: Use of Passive Sampling to Characterize the Presence of SARS-CoV-2 and Other Viruses in Wastewater.,Food and environmental virology,2024.0,10.1007/s12560-023-09572-1,4,6
paper_38205253,38205253,The sound of silent RNA in tuberculosis and the lncRNA role on infection.,iScience,2024.0,10.1016/j.isci.2023.108662,21,0
paper_38114925,38114925,Study on the mechanism of salt relief and growth promotion of Enterobacter cloacae on cotton.,BMC plant biology,2023.0,10.1186/s12870-023-04641-w,11,5
paper_38143826,38143826,TaqMan real-time PCR for detection of pathogenic <i>Leptospira</i> spp. in canine clinical samples.,Journal of veterinary research,2023.0,10.2478/jvetres-2023-0024,8,0
paper_38976344,38976344,Post-Coronavirus Disease-2019 Rhino-orbital Mucormycosis: A Case Report.,Nepalese journal of ophthalmology : a biannual peer-reviewed academic journal of the Nepal Ophthalmic Society : NEPJOPH,2023.0,10.3126/nepjoph.v15i2.46954,6,12
paper_38376315,38376315,A novel EML4-NTRK3 fusion in lung adenocarcinoma with dramatic response to entrectinib.,Journal of cancer research and therapeutics,2023.0,10.4103/jcrt.jcrt_231_21,6,8
paper_38526814,38526814,Abundance of Prevotella copri in gut microbiota is inversely related to a healthy diet in patients with type 2 diabetes.,Journal of food and drug analysis,2023.0,10.38212/2224-6614.3484,8,8
paper_32382540,32382540,Treatment of Large and Complicated Scalp Defects with Free Flap Transfer.,BioMed research international,2020.0,10.1155/2020/2748219,8,10
paper_34795884,34795884,Virtual Reality-Based Analysis of Pressure Ulcer Care Information Related to Medical Equipment for the Prevention of Pressure Ulcer Skin Foam Dressings in the Elderly.,Journal of healthcare engineering,2021.0,10.1155/2021/6389001,5,8
paper_38736050,38736050,Clinical Profile and Outcome of Critically-ill Hospitalized COVID-19 Patients Aged 18-50 Years: A Limited Resource Setting Perspective.,The Journal of the Association of Physicians of India,2023.0,10.59556/japi.71.0354,5,21
paper_38095620,38095620,Needle Stick Injury: A Decade Retrospection Among Health Care Workers in a Tertiary Care Center.,Asia-Pacific journal of public health,2024.0,10.1177/10105395231212311,2,6
paper_34812407,34812407,"Identification of Peptides as Novel Inhibitors to Target IFN-<i>γ</i>, IL-3, and TNF-<i>α</i> in Systemic Lupus Erythematosus.",BioMed research international,2021.0,10.1155/2021/1124055,7,14
paper_38260915,38260915,Circulating levels of inflammatory mediators in pregnant people living with HIV according to antiretroviral therapy regimen.,Frontiers in microbiology,2023.0,10.3389/fmicb.2023.1282291,7,0
paper_37740672,37740672,RETRACTED: Effect of minimally invasive versus conventional aortic root replacement on transfusion and postoperative wound complications in patients: A meta-analysis.,International wound journal,2024.0,10.1111/iwj.14396,9,0
paper_35959006,35959006,The dynamic evolution of collaborative networks in sustainable development: Untying impact of environmental policy in China using network-based text analysis approach.,Frontiers in psychology,2022.0,10.3389/fpsyg.2022.847608,5,0
paper_38096407,38096407,A cGAL-UAS bipartite expression toolkit for <i>Caenorhabditis elegans</i> sensory neurons.,Proceedings of the National Academy of Sciences of the United States of America,2023.0,10.1073/pnas.2221680120,14,4
paper_38086830,38086830,Epigenetic modifications regulate cultivar-specific root development and metabolic adaptation to nitrogen availability in wheat.,Nature communications,2023.0,10.1038/s41467-023-44003-6,18,5
paper_38054350,38054350,Synthetic Biohybrids of Red Blood Cells and Cascaded-Enzymes@ Metal-Organic Frameworks for Hyperuricemia Treatment.,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2024.0,10.1002/advs.202305126,17,8
paper_38375383,38375383,Impact of restoration thickness and tooth shade background on the translucency of zirconia laminate veneers: An in vitro comparative study.,The Saudi dental journal,2024.0,10.1016/j.sdentj.2023.10.019,5,0
paper_37461228,37461228,NIK-mediated reactivation of SIX2 enhanced the CSC-like traits of hepatocellular carcinoma cells through suppressing ubiquitin-proteasome system.,Environmental toxicology,2024.0,10.1002/tox.23892,4,9
paper_38174801,38174801,Use of biologics in patients with psoriasis - A retrospective analysis based on real-world data.,Skin research and technology : official journal of International Society for Bioengineering and the Skin (ISBS) [and] International Society for Digital Imaging of Skin (ISDIS) [and] International Society for Skin Imaging (ISSI),2024.0,10.1111/srt.13550,9,14
paper_38162315,38162315,Parallel evolution and enhanced virulence upon <i>in vivo</i> passage of an RNA virus in <i>Drosophila melanogaster</i>.,Virus evolution,2023.0,10.1093/ve/vead074,6,0
paper_34153666,34153666,The ERK/CREB/PTN/syndecan-3 pathway involves in heparin-mediated neuro-protection and neuro-regeneration against cerebral ischemia-reperfusion injury following cardiac arrest.,International immunopharmacology,2021.0,10.1016/j.intimp.2021.107689,8,23
paper_38303422,38303422,4mCPred-GSIMP: Predicting DNA N4-methylcytosine sites in the mouse genome with multi-Scale adaptive features extraction and fusion.,Mathematical biosciences and engineering : MBE,2024.0,10.3934/mbe.2024012,4,5
paper_37995682,37995682,Therapeutic targeting of EP300/CBP by bromodomain inhibition in hematologic malignancies.,Cancer cell,2023.0,10.1016/j.ccell.2023.11.001,23,7
paper_38391319,38391319,Endocardial fibroelastosis causing sudden death in an infant: Autopsy case report of an unusual lesion.,Indian journal of pathology & microbiology,2024.0,10.4103/ijpm.ijpm_863_22,4,10
paper_38054691,38054691,High IL2RA/CD25 expression is a prognostic stem cell biomarker for pediatric acute myeloid leukemia without a core-binding factor.,Pediatric blood & cancer,2024.0,10.1002/pbc.30803,18,8
paper_29332449,29332449,Mir-452-3p: A Potential Tumor Promoter That Targets the CPEB3/EGFR Axis in Human Hepatocellular Carcinoma.,Technology in cancer research & treatment,2017.0,10.1177/1533034617735931,8,17
paper_38159064,38159064,Integration of bioinformatics analysis to identify possible hub genes and important pathways associated with clear cell renal cell carcinoma.,Urologia,2024.0,10.1177/03915603231220435,5,7
paper_37893209,37893209,RETRACTED: Potential Protective Role of Melatonin in Benign Mammary Cells Reprogrammed by Extracellular Vesicles from Malignant Cells.,Biomedicines,2023.0,10.3390/biomedicines11102837,6,0
paper_33224269,33224269,Classification of Resting-State Status Based on Sample Entropy and Power Spectrum of Electroencephalography (EEG).,Applied bionics and biomechanics,2020.0,10.1155/2020/8853238,4,0
paper_39416692,39416692,Incorporating omics-based tools into endophytic fungal research.,"Biotechnology notes (Amsterdam, Netherlands)",2024.0,10.1016/j.biotno.2023.12.006,5,0
paper_38275954,38275954,"Comprehensive Genetic Characterization of Four Novel HIV-1 Circulating Recombinant Forms (CRF129_56G, CRF130_A1B, CRF131_A1B, and CRF138_cpx): Insights from Molecular Epidemiology in Cyprus.",Viruses,2023.0,10.3390/v16010019,9,12
paper_32555687,32555687,Influence of the combination of big data technology on the Spark platform with deep learning on elevator safety monitoring efficiency.,PloS one,2020.0,10.1371/journal.pone.0234824,2,4
paper_33786627,33786627,Matrine inhibits ovarian cancer cell viability and promotes apoptosis by regulating the ERK/JNK signaling pathway via p38MAPK.,Oncology reports,2021.0,10.3892/or.2021.8033,2,14
paper_31383785,31383785,<i>Lycium barbarum</i> polysaccharide induced apoptosis and inhibited proliferation in infantile hemangioma endothelial cells via down-regulation of PI3K/AKT signaling pathway.,Bioscience reports,2019.0,10.1042/BSR20191182,4,13
paper_37995778,37995778,Structural insights into the role of N-terminal integrity in PhoSL for core-fucosylated N-glycan recognition.,International journal of biological macromolecules,2024.0,10.1016/j.ijbiomac.2023.128309,9,5
paper_35222166,35222166,Impact of Abusive Supervision on Psychological Engagement and Absorptive Capacity Among Students: Mediating Role of Knowledge Hiding.,Frontiers in psychology,2021.0,10.3389/fpsyg.2021.818197,2,0
paper_39602408,39602408,Elucidating the monoamine oxidase B inhibitory effect of kaurene diterpenoids from Xylopia aethiopica: An in silico approach.,PloS one,2024.0,10.1371/journal.pone.0308021,13,10
paper_38128283,38128283,Rapid detection of Salmonella typhimurium by photonic PCR-LFIS dual mode visualization.,Talanta,2024.0,10.1016/j.talanta.2023.125553,4,7
paper_38348845,38348845,"Early chest tube removal regardless of drainage volume after anatomic pulmonary resection: A multicenter, randomized, controlled trial.",The Journal of thoracic and cardiovascular surgery,2024.0,10.1016/j.jtcvs.2023.10.050,20,13
paper_36277018,36277018,Effects of Combined Spinal Epidural Anesthesia in Orthopaedic Surgery of Elderly Patients.,Computational and mathematical methods in medicine,2022.0,10.1155/2022/3523172,3,7
paper_35419950,35419950,Benign prostatic hyperplasia wound after surgical removal in subjects on anticoagulant or antiplatelet therapy: A meta-analysis.,International wound journal,2022.0,10.1111/iwj.13799,4,6
paper_38048358,38048358,Biological factors and statistical limitations prevent detection of most noncanonical proteins by mass spectrometry.,PLoS biology,2023.0,10.1371/journal.pbio.3002409,2,6
paper_38389815,38389815,Common developmental trajectories and clinical identification of children with fetal alcohol spectrum disorders: A synthesis of the literature.,Advances in drug and alcohol research,2023.0,10.3389/adar.2023.10877,2,0
paper_38225879,38225879,Comparative outcomes of autologous cultured melanocytes transplantation and non-cultured epidermal cell suspension transplantation in piebaldism patients: A retrospective study.,Skin research and technology : official journal of International Society for Bioengineering and the Skin (ISBS) [and] International Society for Digital Imaging of Skin (ISDIS) [and] International Society for Skin Imaging (ISSI),2024.0,10.1111/srt.13580,6,6
paper_38391359,38391359,Case report of a rare fungal infection Kodamaea ohmeri in COVID-19 patient in North Malaysian hospital.,Indian journal of pathology & microbiology,2024.0,10.4103/ijpm.ijpm_972_22,5,12
paper_38138048,38138048,"Phosphate-Solubilizing Bacteria: Advances in Their Physiology, Molecular Mechanisms and Microbial Community Effects.",Microorganisms,2023.0,10.3390/microorganisms11122904,2,0
paper_39973436,39973436,Advancements and future prospects in the study of panvascular disease.,Clinical hemorheology and microcirculation,2025.0,10.1177/13860291241302593,2,4
paper_32377717,32377717,Puerarin improves graft bone defect through microRNA‑155‑3p‑mediated p53/TNF‑α/STAT1 signaling pathway.,International journal of molecular medicine,2020.0,10.3892/ijmm.2020.4595,6,19
paper_40063882,40063882,Effect of co-encapsulation using white and red onion peel extract on the viability and stability of Lacticaseibacillus rhamnosus under stressful conditions.,PloS one,2025.0,10.1371/journal.pone.0311952,10,10
paper_32010312,32010312,Interleukin-22 modulates cisplatin sensitivity of osteosarcoma cells by regulating the STAT3 signaling pathway.,Experimental and therapeutic medicine,2020.0,10.3892/etm.2019.8352,7,0
paper_35514372,35514372,"Antiulcer secondary metabolites from <i>Elaeocarpus grandis</i>, family Elaeocarpaceae, supported by <i>in silico</i> studies.",RSC advances,2020.0,10.1039/d0ra06104b,6,0
paper_38186569,38186569,TGF-β-regulated different iron metabolism processes in the development and cisplatin resistance of ovarian cancer.,Oncology research,2023.0,10.32604/or.2023.031404,5,6
paper_35928576,35928576,Double Pump Sequential Constant Citrate Anticoagulation in General Hemodialysis.,Applied bionics and biomechanics,2022.0,10.1155/2022/6047074,7,0
paper_34631879,34631879,Effect of Tumor Microenvironment and Angiogenesis on Clinical Outcomes of Primary Central Nervous System Lymphoma.,BioMed research international,2021.0,10.1155/2021/3291762,8,13
paper_38516562,38516562,Correction factors for the drag and pressure flows of power-law fluids through rectangular ducts.,Polymer engineering and science,2023.0,10.1002/pen.26344,2,0
paper_38153067,38153067,"Microbial community, pathogenic bacteria and high-risk anti-biotic resistance genes at two tropical coastal beaches adjacent to villages in Hainan, China.",Annals of agricultural and environmental medicine : AAEM,2023.0,10.26444/aaem/176090,10,6
paper_23175669,23175669,DNA methylation dynamics and MET1a-like gene expression changes during stress-induced pollen reprogramming to embryogenesis.,Journal of experimental botany,2012.0,10.1093/jxb/ers298,7,15
paper_38116887,38116887,"The CD40/CD40 ligand dyad and its downstream effector molecule ISG54 in relating acute neuroinflammation with persistent, progressive demyelination.",IUBMB life,2024.0,10.1002/iub.2798,2,10
paper_37426799,37426799,Non-neuronal cholinergic system delays cardiac remodelling in type 1 diabetes.,Heliyon,2023.0,10.1016/j.heliyon.2023.e17434,7,0
paper_35600847,35600847,Lateral Ventricular Volume Asymmetry and Optic Nerve Sheath Diameter Predict Intracranial Pressure in Traumatic Brain Injury Patients.,Applied bionics and biomechanics,2022.0,10.1155/2022/9808334,6,0
paper_34859101,34859101,PFNA-II Internal Fixation Helps Hip Joint Recovery and Improves Quality of Life of Patients with Lateral-Wall Dangerous Type of Intertrochanteric Fracture.,BioMed research international,2021.0,10.1155/2021/5911868,2,18
paper_38235361,38235361,Conformational plasticity of SpyCas9 induced by AcrIIA4 and AcrIIA2: Insights from molecular dynamics simulation.,Computational and structural biotechnology journal,2024.0,10.1016/j.csbj.2023.12.030,7,0
paper_38232076,38232076,Intersecting paths: Corporate and green innovation in Chinese firms-A penal cointegration analysis.,PloS one,2024.0,10.1371/journal.pone.0295633,3,0
paper_37973906,37973906,Genomic Landscape of Pulmonary Sarcomatoid Carcinoma.,Cancer research and treatment,2024.0,10.4143/crt.2023.764,7,9
paper_34671638,34671638,Effect of Intraoperative Ventilation Strategies on Postoperative Pulmonary Complications: A Meta-Analysis.,Frontiers in surgery,2021.0,10.3389/fsurg.2021.728056,5,0
paper_33956874,33956874,Pseudomonas aeruginosa-induced nociceptor activation increases susceptibility to infection.,PLoS pathogens,2021.0,10.1371/journal.ppat.1009557,11,12
paper_27823944,27823944,Effect of cervical lidocaine-prilocaine cream on pain perception during copper T380A intrauterine device insertion among parous women: A randomized double-blind controlled trial.,Contraception,2017.0,10.1016/j.contraception.2016.10.011,7,18
paper_40226427,40226427,Applied Electric Fields Polarize Initiation and Growth of Endothelial Sprouts.,Journal of tissue engineering and regenerative medicine,2023.0,10.1155/2023/6331148,4,6
paper_39491997,39491997,"Microalgae-microplastics interactions at environmentally relevant concentrations: Implications toward ecology, bioeconomy, and UN SDGs.",Water research,2023.0,10.1016/j.watres.2023.120778,4,0
paper_35928913,35928913,Antihypertensive Activity in High Salt-Induced Hypertensive Rats and LC-MS/MS-Based Phytochemical Profiling of <i>Melia azedarach</i> L. (Meliaceae) Leaves.,BioMed research international,2022.0,10.1155/2022/2791874,5,16
